  0.0  0.07364  0.01869  
 0.1  0.07412  0.01860 
 0.2  0.07477  0.01815 
 0.3  0.07551  0.01759 
 0.4  0.07718  0.01681 
 0.5  0.07943  0.01587 
 0.6  0.08226  0.01479 
 0.7  0.08558  0.01360 
 0.8  0.09024  0.01237 
 0.9  0.09627  0.01103 
 1.0  0.10463  0.009639       
 1.1  0.11465  0.008296       
 1.2  0.12713  0.007015 
 1.3  0.14188  0.005733 
 1.4  0.15901  0.004543 
 1.5  0.17881  0.003424 
 1.6  0.20063  0.002444 
 1.7  0.22404  0.001646  
 1.8  0.24574  0.001052 
 1.9  0.25980  0.000615  
 2.0  0.26832  0.000298  
 2.1  0.27770  0.000110  
 2.2  0.29182  0.000028  
 2.3  0.30972  0.000005  
 2.4  0.31161  0.0000007 
 2.5  0.30474  0 
 2.6  0.33347  0 
 2.7  0.41145  0 
 2.8  0.51284  0 
 2.9  0.26117  0
