3.6	0.1271	0.006355
3.5	0.1178	0.00589
3.4	0.1011	0.005055
3.3	0.0951	0.004755
3.2	0.086	0.0043
3.1	0.0764	0.00382
3	0.0659	0.003295
2.9	0.0608	0.00304
2.8	0.0588	0.00294
2.7	0.0425	0.002125
2.5	0.0536	0.00268
2.4	0.0374	0.00187
2.2	0.0348	0.00174
2.1	0.0297	0.001485
2	0.0253	0.001265
1.1	0.0186	0.00093
1	0.0193	0.000965
0.9	0.0225	0.001125
0.8	0.0148	0.00074
0.7	0.0123	0.000615
0.6	0.0185	0.000925
0.5	0.0065	0.000325
0.4	0.0144	0.00072
-0.4	0.0144	0.00072
-0.5	0.0065	0.000325
-0.6	0.0185	0.000925
-0.7	0.0123	0.000615
-0.8	0.0148	0.00074
-0.9	0.0225	0.001125
-1	0.0193	0.000965
-1.1	0.0186	0.00093
-2	0.0253	0.001265
-2.1	0.0297	0.001485
-2.2	0.0348	0.00174
-2.4	0.0374	0.00187
-2.5	0.0536	0.00268
-2.7	0.0425	0.002125
-2.8	0.0588	0.00294
-2.9	0.0608	0.00304
-3	0.0659	0.003295
-3.1	0.0764	0.00382
-3.2	0.086	0.0043
-3.3	0.0951	0.004755
-3.4	0.1011	0.005055
-3.5	0.1178	0.00589
-3.6	0.1271	0.006355
